2card,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12p,13p,14p,15p
02-03,39.6940,26.9140,20.3640,17.2920,15.2460,13.7820,12.6380,12.1420,11.3110,10.7240,10.1700,10.0990,9.5310,9.2060
02-04,40.6180,27.7100,21.5120,18.0510,16.0100,14.4160,13.3490,12.5860,11.9810,11.4630,10.8860,10.3440,10.0770,9.9440
02-05,41.8180,28.7670,22.0920,18.6360,16.5170,15.0470,13.9310,13.2010,12.2520,11.7290,11.2820,10.7610,10.2670,10.0000
02-06,41.4500,27.7510,21.2410,17.7930,15.6100,14.4080,12.7440,12.0860,11.3660,10.7570,10.1360,9.8740,9.3970,9.0770
02-07,41.8390,27.5180,20.8620,17.0750,14.8700,13.4910,12.4600,11.4190,10.8420,10.3960,9.6200,9.4700,8.8900,8.5240
02-08,43.4640,28.7120,21.8350,17.8330,15.5720,13.8330,12.6070,11.5170,11.0830,10.2060,9.8530,9.3680,8.8520,8.4700
02-09,45.6790,30.0270,22.5900,18.4520,16.2350,14.4090,13.0830,12.0740,11.1340,10.4210,9.9540,9.3550,8.9670,8.6430
02-0O,47.8890,31.4700,23.7260,19.5370,16.7620,15.2900,13.7060,12.8050,11.6910,11.3060,10.7620,10.1970,9.6410,9.2310
02-0J,50.1000,33.1740,25.0720,20.5070,17.4500,15.6830,14.1820,13.0070,11.9920,11.3780,10.5890,10.2910,9.9940,9.2500
02-0Q,52.8200,34.7350,26.4730,21.8250,18.5640,16.5290,14.7770,13.7070,12.6310,11.8210,11.1700,10.6560,10.0180,9.5590
02-0K,55.3010,37.2310,28.2440,23.2970,20.3750,17.9000,16.0000,14.5010,13.3160,12.6760,11.7390,11.0380,10.6510,9.9630
02-0A,59.4870,41.4050,31.6110,26.4430,22.8260,19.7600,18.0330,16.4490,15.2750,14.0920,13.3150,12.4610,11.7940,11.3190
02-12,52.1380,32.4800,23.5000,19.1370,16.8790,15.6100,14.4930,13.7740,13.4550,12.4280,12.0040,11.5260,11.3440,10.7250
02-13,36.5250,23.1820,16.8020,13.3850,11.4980,9.9220,9.0520,8.3710,7.7420,7.1460,6.7030,6.3550,6.0030,5.6290
02-14,37.6710,23.9280,17.6690,14.3110,12.0670,10.6810,9.5440,8.9580,8.2520,7.7970,7.3470,6.8080,6.5880,6.1910
02-15,38.3270,24.8280,18.2210,14.8300,12.5490,11.1150,10.1530,9.2340,8.5630,8.1640,7.6820,7.2800,6.7880,6.5840
02-16,38.3490,23.9970,17.7270,13.9010,11.8240,10.2200,9.1500,8.3010,7.6150,7.0970,6.6880,6.2770,5.9720,5.6930
02-17,38.5190,23.7160,17.1530,13.4490,11.0070,9.5600,8.6180,7.8590,7.2720,6.6290,6.2180,5.8070,5.5840,5.0380
02-18,40.6290,25.2210,18.2160,14.1040,11.7450,10.0700,8.9130,8.0910,7.3540,6.8460,6.1160,5.8350,5.3250,5.1300
02-19,42.7980,26.1340,18.9380,15.0100,12.3280,10.4650,9.1500,8.1560,7.5620,6.9560,6.4250,5.9190,5.5290,5.1650
02-1O,45.0520,27.9300,20.2540,15.8890,13.2610,11.4980,10.0320,9.2040,8.2000,7.5530,7.1030,6.5360,6.1420,5.9150
02-1J,47.3320,29.4100,21.0200,17.0840,13.8610,11.8160,10.4680,9.2530,8.4580,7.7330,7.2080,6.6200,6.1990,5.9210
02-1Q,50.3820,31.5350,22.7430,18.0590,14.9150,12.8140,11.3250,9.8060,8.9640,8.0840,7.5000,6.9560,6.5650,5.9630
02-1K,53.0920,34.0160,24.8480,19.7010,16.3740,14.0560,12.2580,10.9970,9.5570,8.8240,8.1350,7.4750,6.8560,6.4500
02-1A,57.1370,37.9020,28.2350,22.7680,18.9690,16.3520,14.2990,12.8380,11.1900,10.2400,9.4030,8.5500,8.0010,7.4620
